Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Ethereum: Building Blockchain Decentralized Apps (DApps),"Are you interested in writing blockchain apps or integrating cryptocurrency into your existing apps? In this project-based course, Drew Falkman shows mobile and web developers who are broadly familiar with programming concepts how to work in the Ethereum blockchain environment. As he walks through the creation of a smart contract, a web user interface, and the JavaScript needed to link the two, Drew helps to familiarize you with key programming concepts and techniques surrounding Ethereum development. Discover what the Ethereum blockchain is and how it differs from bitcoin. Get an introduction to Solidity, the programming language used to write smart contracts on the Ethereum network. In addition, learn how to build decentralized applications (DApps) using some of the web programming languages you're already familiar with.",Course,2021-09-22 13:22 UTC,N/A,false,N/A,
Como Melhorar seu Discernimento,"Quer tomar melhores decisões no trabalho? Nesse curso rápido, o escritor, especialista em inovação e professor, Drew Boyd, sugere maneiras de confrontar os vieses cognitivos inatos, para que você tome boas decisões com mais discernimento e equilíbrio.",Course,2019-03-28 11:49 UTC,N/A,false,N/A,
Scripting for Testers (2018),"Scripting can expand your abilities as a tester and help you keep up with the pace of agile. It allows you to more quickly and efficiently find software issues and automate manual tasks such as reporting and test site preparation. This course examines a few ways to use scripts to solve common challenges faced in the fast-paced world of software testing. Follow along and learn how to navigate and test APIs, generate reports, explore products with web automation tools, generate dummy data for testing, and more. The lessons rely on simple Python-based scripts as well as popular testing tools such as Google Sheets and Selenium WebDriver. Instructor Dave Westerveld provides concrete examples and ideas to increase your productivity, eliminate boring tasks, build new insights into products, and standardize and simplify your team's work.",Course,2019-10-28 11:47 UTC,N/A,false,N/A,
Tomada de Riscos para Líderes,"A tomada de risco é imperativa para o crescimento em longo prazo, nos níveis pessoal e organizacional. Gerentes avessos a risco não conseguem gerenciar de modo efetivo ou crescer. Nesse curso, a escritora e consultora Deborah Perry Piscione revela as diferenças entre a tomada de risco calculada e os jogos de azar, e como dominar a arte do risco. Saiba como os líderes podem modelar comportamentos de tomada de risco que equilibram a criação de valor em longo prazo e a rentabilidade em curto prazo.
Uma vez que você, como líder, saiba como e quando tomar risco, pode construir uma cultura que, além de produzir um ótimo trabalho, tenha um fluxo constante de ideias que melhorem todos os aspectos da organização. Assista esse curso e melhore a relevância e o valor de mercado de seu negócio e carreira.",Course,2019-03-28 11:42 UTC,N/A,false,N/A,
JavaScript: Maps and Sets,"Programming languages are always evolving and changing, and JavaScript is no exception. Over time, JavaScript has grown, and many new aspects have been added, including maps and sets. JavaScript maps and sets may sound simple, but they aren't quite the same as their counterparts in other programming languages. In this course, software engineer Jamie Pittman covers the ins and outs of JavaScript maps and sets, their syntax, how they work, and how to integrate them into your daily coding practice. Topics covered include a general overview of these features, when and where to use them, their WeakMap and WeakSet versions, and the various methods and properties associated with them. Practice what you learn with hands-on challenges.",Course,2023-04-01 16:18 UTC,N/A,true,N/A,
Agile Testing,"<p>Learn how to create higher-quality software at a faster clip by implementing agile testing in your organization. Throughout this course, instructor Ash Coleman helps you boost your understanding of the role and methods of software testers, as well as how testing can enhance your agile workflow. To kick things off, Ash goes over the role of the tester in agile teams, detailing how testers govern, monitor, and encourage quality practices. Next, she steps through the agile testing approach and pinpoints where testers can add value. She also helps to acquaint you with key testing processes and responsibilities, including bug tracking; explores both manual testing and test automation; and discusses how continuous integration can be incorporated into the mix.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/lambdatest-software-testing-professional-certificate"">Professional Certificate</a> from LambdaTest.</p>",Course,2021-06-21 20:10 UTC,N/A,false,N/A,
Building RESTful Web APIs with Django,"APIs are a crucial technology for delivering data to applications—from front-end ecommerce sites to iOS and Android apps. The Django REST framework is the natural choice for Python and Django developers who want to create their own RESTful back-end APIs. In addition to its rapid prototyping tools, the framework includes authentication schemes, serialization for parsing complex data into Python-friendly types, and automatic URL routing. This course shows how to use the Django Rest framework to create a simple RESTful web API. Instructor Rudolf Olah explains how to create serializers, renderers, filtering and pagination, and routers with viewsets that consumers can use to access the API. He also shows how to unit test your code to ensure your API works as expected. By the end of the course, you’ll know how to use this powerful and flexible toolkit to build you own data-driven web experiences.",Course,2021-08-31 02:32 UTC,N/A,false,N/A,
Learning Python (2020),"Python—the popular and highly readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.",Course,2021-09-22 13:20 UTC,N/A,false,N/A,
Demystifying ChatGPT and Generative AI: What Every Professional Needs to Know,"Unlock the secrets of AI in this course with instructor Jules White. This course breaks down complex AI concepts into simple, easy-to-understand lessons, making generative AI accessible to everyone. Learn how to effectively integrate ChatGPT into your professional toolkit, boosting productivity, creativity, and innovation. Business leaders will gain strategic insights to effectively innovate and drive their organizations forward. Whether you're new to AI or looking to enhance your understanding, this course provides the essential knowledge and skills you need to stay ahead in the evolving digital landscape.",Course,2025-04-07 10:52 UTC,N/A,false,N/A,
Postman Essential Training,"<p><b>Suggested prerequisites</b></p>
<ul>
<li>A basic understanding of the command line</li>
<li>A basic understanding of HTTP requests</li>
</ul>
<p><b>Projects</b></p>
<ul>
<li>Add variables to the URL and body of a request.</li>
<li>Write your own status, header, and body assertions for a Postman request.</li>
<li>Write assertions for complicated JSON responses, including responses in arrays and in nested objects.</li>
</ul>
<p>This course introduces the process of writing, running, and automating API tests with Postman. Instructor Kristin Jackvony explains what to test in an API endpoint, along with how to use authentication tokens in an API call, write good assertions, create test collections, and how to run the test collections from the command line.</p>",Course,2023-05-19 16:34 UTC,N/A,false,N/A,
Hands-On AI: Build Your Own GPTs,"Discover how to build AI applications without any coding. Using English as your new programming language, explore crafting advanced prompts, creating comprehensive knowledge bases, and personalizing model outputs for specific tasks. Join Alina Zhang, a seasoned data scientist, to create three custom GPTs: KK, Sun Tzu, and Lilis. Dive into innovative techniques, including the Pentagram framework for prompt engineering, chain-of-thought, few-shot learning, user intent detection, and strategies to safeguard against prompt injection attacks.",Course,2024-07-12 13:11 UTC,N/A,false,N/A,
Advanced SQL for Data Scientists,"Many data scientists know how to work with SQL—the industry-standard language for data analysis. But as data sizes grow, you need to know how to do more than simply read and write from a database. This course provides a more sophisticated approach to designing data models and optimizing queries in SQL. Instructor Dan Sullivan begins with the logical and physical design of tables—with particular focus on very large databases—and then presents a deep dive review of indexes, including specialized indexes and when to use them. The next section introduces query optimization and shows how to optimize basic, multi-join, and more complex queries. The course also covers SQL extensions, including user-defined functions and specialized data types. The techniques taught here enable more efficient analysis of large data sets using SQL, statistics, and custom business logic.",Course,2023-03-23 05:14 UTC,N/A,false,N/A,
Introduction to Conversational AI,"<p>The use of AI in consumer and enterprise environments is exploding—and conversational AI is leading the way. Conversational AI is part of the intelligent automation spectrum of technologies used to digitize and transform operations, customer support, sales, and interactions with enterprise technologies. In this course, instructor Ian Barkin puts it all into context, situating conversational AI with its historical predecessor technologies and introducing the new technology stack: natural language processing, automatic speech recognition, and natural language understanding.</p><p>Explore the different types and benefits of conversational AI tools, with real-world examples drawn from enterprise experiences to highlight the ways in which this powerful technology has been deployed. From modern conversational AI channels and platforms to using AI chatbots in practice, by the end of this course, you’ll be equipped with highly sought-after skills to create better AI strategies for your teams.</p>",Course,2023-03-16 15:19 UTC,N/A,false,N/A,
DevOps Foundations: DevSecOps (2018),"Security is a major concern in the DevOps world. There is a constant push for companies to move more quickly, and security teams struggle to keep up with testing. This has led to the rise of a new field: DevSecOps. This course introduces the concept of DevSecOps and explains how an organization can build out a DevSecOps program that helps teams integrate security into the application development pipeline. Learn about the role of APIs, containers, and automation, and how a continuous integration and delivery framework can help your organization run security tests as often as developers want. Instructor Tim Chase also introduces some free tools and resources for starting your DevSecOps journey.",Course,2021-06-20 18:17 UTC,N/A,false,N/A,
Small Talk for Non-Native English Speakers,"<p>In business, small talk can have a significant impact. Casual and seemingly unimportant conversations can open doors to friendships, better working relationships, and even new career opportunities. In this course, Liesje Sandler, an English coach at Speexx, teaches how to engage in small talk effectively and successfully. Get tips on how to break the ice and advice on how to start, keep, and end conversations.</p>
<p>
This course is part of a <i>Business English for Non-Native Speakers</i> series aimed at anyone with a basic knowledge of English who wants to improve their business English skills.</p>",Course,2023-05-03 17:58 UTC,N/A,false,N/A,
Competências de Coaching para Líderes e Gerentes,"Os líderes que fazem coaching direcionado e contínuo com seus colaboradores podem fortalecer suas equipes e agregar valor à organização. Neste curso, a especialista em liderança Sara Canaday esclarece as diferenças entre mentoria, treinamento e coaching e apresenta aos líderes modelos e competências de coaching para apoiar o desenvolvimento e crescimento de seus colaboradores. Além disso, ela explora os benefícios e os desafios comuns do coaching e explica como dar feedback e definir metas.",Course,2021-06-17 20:44 UTC,N/A,false,N/A,
Estratégias de Tomada de Decisão,"Aprenda a arte e a ciência da tomada de decisões de negócios do treinador e coach de liderança Mike Figliuolo. Mike descreve os quatro estilos de tomada de decisão - autocrático, participativo, democrático e consensual - e revela quais estilos são mais adequados para situações específicas. Reconhecendo que a ambigüidade faz parte de qualquer processo de tomada de decisão, Mike aborda os quatro tipos de ambigüidade que você enfrentará para poder reconhecer o que não sabe para reduzir riscos e planejar contingências. Ele também apresenta técnicas para envolver as partes interessadas no processo de tomada de decisão e explica como usar uma matriz RACI (responsável, responsável, consultada e informada). A aplicação desses conceitos importantes ajudará você a tomar decisões melhores com mais rapidez, incorrer em menos riscos e obter mais suporte para suas decisões.",Course,2019-07-28 23:32 UTC,N/A,false,N/A,
Program Databases with Transact-SQL,"This course focuses on a single category of objects within a SQL Server database: Programmability objects. With these objects, database developers can automate systems with triggers, ensure consistent user experiences with stored procedures, protect database integrity with transactions, and implement error-handling routines that enhance the database’s functionality. Join instructor Adam Wilbert as he takes a deep dive into the Programmability folder in a SQL Server database. Using real-world examples, he explores the types of objects that can be deployed to automate systems and maintain database integrity. To follow along, you just need some familiarity with the functionality of a relational database, as well as how to write Transact-SQL (T-SQL) queries.",Course,2025-09-02 18:53 UTC,N/A,false,N/A,
Streamlining Your Work with Copilot (formerly Bing Chat/Bing Chat Enterprise),"<p>AI chatbots are all the rage these days, but they’re often misunderstood. Are they merely simple question-answering machines? Absolutely not. And they can completely change the way you work. In this course, Jess Stratton shows you the ropes of how to get started using the popular chat AI tool Microsoft Bing Chat.</p><p>Learn how Bing Chat can perform a wide variety of tasks and help you streamline your entire workflow, from generating ideas and summarizing data to solving common work problems such as planning itineraries, scheduling, and communicating with coworkers. Follow along with Jess as she explains how to boost your productivity using Bing Chat, beginning with a quick primer on how chat AI tools function, then diving into how to put them to work for you. By the end of this course, you’ll be ready to perform robust online searches, generate ideas, compose text, automate your work, fact-check the results, and more.</p>",Course,2024-04-15 14:26 UTC,N/A,false,N/A,
Guy Kawasaki on How to Rock Social Media,"Entrepreneur and social media expert Guy Kawasaki—who has 1.4 million Twitter followers and more than a quarter million likes on Facebook—shares his experience and knowledge about how to be successful on social media for personal and professional branding. He offers profile optimization tips, discusses great techniques for crafting and distributing shareable content, explores how to best engage with fans and followers, provides tips specific to each major social media platform, and explains how to best integrate social media with a blog.",Course,2018-10-03 01:01 UTC,N/A,false,N/A,
Git e GitHub: Formação Básica,"O controle de versão é uma habilidade essencial a ser dominada pela pessoas desenvolvedoras. O Git é de longe o sistema de controle de versão mais popular na web. Neste curso, a autora Amanda Cavallaro mostra como instalar o Git e usar os comandos fundamentais que você precisa para trabalhar com projetos Git: mover arquivos, gerenciar logs e trabalhar com branches (ramificações). Além disso, você aprenderá a trabalhar com o GitHub para explorar projetos existentes, clona-los em seu disco rígido local e utiliza-los como modelos para seus novos projetos.",Course,2022-06-10 20:06 UTC,N/A,false,N/A,
ISTQB Foundation Cert Prep,"Are you looking to move into the dynamic and exciting world of software testing? An International Software Testing Qualifications Board (ISTQB) certification can be one steppingstone on your journey. The ISTQB exams can be difficult to traverse without a solid understanding of the course material and the expectations of the exam board. In this course, instructor Michael Smith covers all these things. Michael explains key terminology that you will need to know for the ISTQB exams. After describing the principles, process, and psychology of testing, Michael goes into how software testing fits into the overall software development lifecycle (SDLC). He discusses static testing, a variety of test techniques, and helpful information on organizing, planning, monitoring, and managing your tests. Michael finishes up by showing you some test tool considerations and tips, as well as additional help in getting ready for the ISTQB Foundation exam.",Course,2023-05-26 20:11 UTC,N/A,false,N/A,
Excel 2019: Formação Básica,"Esse curso possui uma abordagem focada nas principais ferramentas do Excel na sua versão 2019 e na produtividade de profissionais por meio de execuções, atalhos e facilidades que são ensinadas ao longo das aulas. São desenvolvidas planilhas, análises e execuções em casos semelhantes ao dia a dia de profissionais.",Course,2019-07-08 11:09 UTC,N/A,false,N/A,
Técnicas Avançadas de Python,"Desenvolva suas habilidades de programação Python. Python é uma ótima opção para implementar vários tipos de soluções, mas para aproveitar ao máximo seu poder e flexibilidade, você precisa dominar as suas funcionalidades avançadas. Neste curso, você pode aprender como aproveitar os recursos avançados do Python como métodos de classe orientadas a objetos, usar o módulo logging para rastrear o desempenho e a atividade do usuário, e como tornar seu código mais eficiente e mais fácil de ler e manter. A instrutora Jessica Temporal também mostra como manipular dados, construir classes e funções personalizadas, criar listas e escrever um código mais elegante e otimizado.",Course,2022-03-22 02:35 UTC,N/A,false,N/A,
Learning SnowflakeDB,"Are you in the process of trying to scale your business but bumping up against storage and capacity limits? Rather than shelling out more resources for expensive hardware and software licenses, consider Snowflake, the popular data warehouse and data management platform with unique data exchange capabilities for your business. Join instructor Lynn Langit and learn about how to use Snowflake—the power of the cloud awaits you.<br><br>Discover why Snowflake is one of the most rapidly growing cloud-based data management platforms in the industry. Explore the features and functions of the platform, what Snowflake does, how it works, and how to get the most out of its data storage and query processing power with hands-on examples, demos, and scenarios along the way. Lynn gives you tips and techniques for account management, authentication, security protocols, architectural patterns, the data life cycle, and more.",Course,2024-04-10 11:21 UTC,N/A,false,N/A,
Como Responder a Microagressões no Trabalho ,"Neste curso, Toni Lowe, uma palestrante requisitada e líder sênior de RH com especialização em diversidade, inclusão, equidade e pertencimento, ensina como identificar e lidar com ações ou comportamentos intencionais e não intencionais que perpetuam o preconceito em relação a grupos marginalizados no trabalho. Toni identifica as três principais categorias de microagressões: microataques, microinsultos e microinvalidações. Embora a palavra “micro” signifique pequeno, cada instância de microagressão tem um grande impacto na saúde física e bem-estar psicológico do colaborador. Toni sugere etapas práticas para criar espaços seguros no trabalho a fim de enfrentar a situação e desenvolver um sistema de apoio. Ela conclui o curso com sua estrutura de três etapas para lidar com as microagressões.",Course,2022-10-21 20:53 UTC,N/A,false,N/A,
Delegação de Tarefas à Equipe,"Neste curso, a especialista em desenvolvimento e aprendizagem, Britt Andreatta, oferece orientações para o processo de delegação, que lhe ajuda a atribuir as tarefas certas às pessoas certas, bem como a desenvolver melhor sua equipe e atender às necessidades da empresa.
O curso revela o que a delegação pode fazer por você e pela equipe, e apresenta um modelo de quatro fases para delegar tarefas e gerenciar projetos grandes e pequenos. As fases incluem avaliar a tarefa, entregar a tarefa, apoiar a conclusão da tarefa e finalizar a tarefa. Nesse meio tempo, aprenda a escolher o nível certo de autonomia para cada tarefa e as melhores maneiras de evitar a microgestão.",Course,2019-06-06 22:17 UTC,N/A,false,N/A,
Como Encontrar e Reter Profissionais de Alto Potencial (2018),"Diretores-executivos e profissionais de RH sabem que a capacidade de atrair e reter talentos é uma das principais vantagens competitivas de uma empresa. Neste curso, a consultora de desenvolvimento de liderança Katy Sharon explica os desafios da gestão de talentos e descreve estratégias para encontrar e trazer os melhores e mais brilhantes colaboradores para trabalhar em sua organização. Ela oferece ferramentas e técnicas para ajudar você a identificar os colaboradores de alto potencial na organização e fazer dela uma das melhores empresas para trabalhar, fornecendo uma série de perguntas que podem ser usadas nas entrevistas durante o processo de seleção. Katy também inclui um exemplo de um plano de desenvolvimento profissional para colaboradores de alto potencial e um guia para o planejamento de conversas sobre retenção de talentos.",Course,2018-10-03 01:05 UTC,N/A,false,N/A,
IT Service Desk Careers and Certifications: First Steps (2017),"Are you looking to start a career in IT? Or, are you an IT service desk professional wishing to explore opportunities for career advancement, but unsure of your next step? In either instance—whether you're jumping into a brand-new IT career or advancing your existing one—this course can provide you with a foundational mapping of the careers and certifications you might want to consider. Instructor Fancy Mills covers a variety of career paths at all levels, from service desk analyst to service desk manager. She also explores different certifications related to service desk roles, and discusses the future of the IT service desk.",Course,2018-08-13 17:30 UTC,N/A,false,N/A,
Princípios Básicos para Novos Cargos de Gestão,"Nesse curso, o especialista em gestão e liderança Todd Dewett dá dicas para você estabelecer sua identidade como líder, relacionar-se com a equipe e tornar-se um gerente iniciante bem-sucedido. Saiba como sobreviver aos primeiros 30 dias, criar confiança, facilitar reuniões efetivas e desenvolver autoridade. O curso prepara você para suas responsabilidades no trabalho e eleva seu valor para a organização, melhorando a efetividade operacional.",Course,2019-03-20 16:42 UTC,N/A,false,N/A,
Pensamento Crítico (2018),"Pensamento crítico é a capacidade de pensar de forma reflexiva e independente para tomar decisões informadas. Concentrando-se em questões de causa raiz, o pensamento crítico ajuda a evitar futuros problemas que podem resultar de suas ações. Neste curso, o instrutor e especialista em liderança Mike Figliuolo descreve uma série de técnicas para ajudar a desenvolver suas habilidades de pensamento crítico. Ele revela como definir o problema a ser resolvido e, em seguida, oferece uma série de ferramentas de pensamento crítico, como transformar o modelo comercial, perguntar os 5 ""porquês"", perguntar os 7 ""e daí?"", usar a regra 80/20 e muito mais. Ele também proporciona orientações para desenvolver essa habilidade em toda a equipe.",Course,2019-08-05 04:14 UTC,N/A,false,N/A,
Prompt Engineering: How to Talk to the AIs,"Are you looking to learn more about prompt engineering, but not sure where to start? Join Xavier Amatriain, vice president of engineering and AI product strategy at LinkedIn, in this course designed to get you up to speed with one of the hottest topics in AI today. By the end of this course, you’ll be equipped with new engineering tips and tricks—as well as a variety of sample prompts and responses—to start talking to the AIs all on your own.",Course,2024-04-24 18:54 UTC,N/A,false,N/A,
Inglês para Negócios: Como Impressionar em Entrevistas de Emprego On-line,"O objetivo deste curso é fornecer aos alunos as competências linguísticas necessárias para se sair bem em um processo seletivo on-line em inglês. O processo de recrutamento pode ser estressante para qualquer pessoa, mas fazer entrevistas de emprego em um idioma não nativo traz desafios adicionais, principalmente quando o processo é realizado on-line. Este curso oferece uma linguagem prática e dicas para ajudar os alunos de língua inglesa a responder a perguntas comuns, formular suas próprias questões e negociar salários e benefícios. Após a conclusão do curso, eles se sentirão mais confiantes para falar inglês em entrevistas de emprego. Além disso, as competências linguísticas praticadas no curso os ajudarão a progredir na carreira.",Course,2023-03-28 17:04 UTC,N/A,true,N/A,
Building a React Project with Google Bard and the PalM2 API,"You can talk with ChatGPT easily, and ask it questions, but how do you build it into your own applications? In this course, Ray Villalobos shows how to set up a secure environment for connecting your code to ChatGPT using Bard, the chatbot from Google that’s based on the large language model called PaLM 2. PaLM2 has been trained on millions of parameters and is extremely effective at tasks like reasoning, code, math, and other languages. Ray takes a look at what it takes to create an application that uses the PaLM2 API to create your own personal chatbot. He shows you how to use NodeJS together with React to create an interface that answers simple questions, managing the connectivity between the client and the server.",Course,2024-08-29 09:56 UTC,N/A,false,N/A,
5 Common Test Failures,"Every quality test has a goal of delivering a better product. However, the steps to achieve that goal can be challenging if you don’t avoid some of the most common mistakes. In this audio-only course, instructor Mike Fine covers the top five issues that testers, managers, and teams encounter in executing their project. Mike not only identifies these issues, but he also serves up some helpful advice on how to address them and ensure they become part of a successful process and program. Whether you’re an experienced tester or new to testing, Mike’s tips can help you start off on the right foot and avoid common pitfalls that can impact all forms of quality testing.",Course,2024-05-17 15:13 UTC,N/A,false,N/A,
Como Melhorar o Foco,"Em nosso mundo agitado, a gestão de tempo sozinha não é suficiente. Para aumentar a eficiência, é preciso melhorar o foco e gerenciar sua agenda. Neste curso, o especialista em produtividade e autor de um best-seller, Dave Crenshaw, ajuda você a desenvolver habilidades críticas que evitarão as distrações diárias e manterão seu foco no que é mais valioso. Organize seu espaço digital e físico para fortalecer a concentração, descobrir maneiras de manter sua mente na tarefa e proteger suas relações — tanto no trabalho quanto em casa —, colocando o foco no que é mais importante.",Course,2020-04-13 19:44 UTC,N/A,false,N/A,
Fundamentos da Melhoria de Processos,"O objetivo da gestão é fazer melhorias, não só nos produtos e serviços, mas também no processo todo. O difícil é saber o que precisa melhorar e, depois, se as intervenções realizadas tiveram um impacto positivo. Este curso fornece uma visão geral das ferramentas básicas usadas na melhoria de processos, como o controle estatístico de processos, e como usar essas ferramentas para melhorar os três aspectos mais críticos do processo de negócios: tempo, qualidade e custo. Chris Croft extrai as melhores práticas das abordagens para melhoria de processos, como a Mentalidade Enxuta e o Seis Sigma, combinando-as em lições que ajudarão você a observar a essência do seu negócio, avaliá-la e aprimorá-la.",Course,2019-04-17 16:23 UTC,N/A,false,N/A,
